Timestamp,MachineID,Temperature,Pressure,VibrationLevel,Status
2025-11-04 21:06:11,M001,52.7,2.2,0.45,Normal
2025-11-04 21:06:11,M002,36.3,1.7,0.54,Normal
2025-11-04 21:06:11,M003,53.7,2.32,1.06,Normal
2025-11-04 21:06:11,M004,56.7,2.16,0.88,Normal
2025-11-04 21:06:11,M005,74.7,3.0,2.0,Critical
2025-11-04 21:21:11,M001,45.7,2.17,0.71,Normal
2025-11-04 21:21:11,M002,41.8,2.07,0.85,Normal
2025-11-04 21:21:11,M003,47.9,2.13,0.95,Normal
2025-11-04 21:21:11,M004,39.3,1.53,1.05,Normal
2025-11-04 21:21:11,M005,24.8,2.55,0.88,Normal
2025-11-04 21:36:11,M001,21.4,1.86,0.59,Normal
2025-11-04 21:36:11,M002,40.8,2.12,0.8,Normal
2025-11-04 21:36:11,M003,39.5,1.66,0.47,Normal
2025-11-04 21:36:11,M004,49.3,2.22,1.21,Normal
2025-11-04 21:36:11,M005,49.1,2.04,0.64,Normal
2025-11-04 21:51:11,M001,41.1,1.97,0.77,Normal
2025-11-04 21:51:11,M002,46.3,1.97,0.95,Normal
2025-11-04 21:51:11,M003,51.7,1.94,0.58,Normal
2025-11-04 21:51:11,M004,38.4,2.14,0.98,Normal
2025-11-04 21:51:11,M005,78.5,3.25,2.0,Critical
2025-11-04 22:06:11,M001,47.9,2.56,0.87,Normal
2025-11-04 22:06:11,M002,30.2,2.2,0.64,Normal
2025-11-04 22:06:11,M003,41.3,2.01,0.5,Normal
2025-11-04 22:06:11,M004,75.2,3.15,1.77,Critical
2025-11-04 22:06:11,M005,84.4,3.16,1.8,Critical
2025-11-04 22:21:11,M001,43.7,2.68,0.76,Normal
2025-11-04 22:21:11,M002,51.6,2.19,0.55,Normal
2025-11-04 22:21:11,M003,59.2,1.42,0.9,Normal
2025-11-04 22:21:11,M004,30.0,1.89,0.96,Normal
2025-11-04 22:21:11,M005,60.3,1.82,0.76,Normal
2025-11-04 22:36:11,M001,41.0,2.35,0.88,Normal
2025-11-04 22:36:11,M002,44.8,2.24,0.63,Normal
2025-11-04 22:36:11,M003,52.1,2.43,0.66,Normal
2025-11-04 22:36:11,M004,58.0,2.26,0.65,Normal
2025-11-04 22:36:11,M005,81.8,3.18,1.82,Critical
2025-11-04 22:51:11,M001,47.6,2.24,0.68,Normal
2025-11-04 22:51:11,M002,35.2,1.58,0.85,Normal
2025-11-04 22:51:11,M003,55.6,2.29,0.93,Normal
2025-11-04 22:51:11,M004,64.5,1.55,0.7,Normal
2025-11-04 22:51:11,M005,45.4,1.58,1.06,Normal
2025-11-04 23:06:11,M001,44.0,2.45,0.88,Normal
2025-11-04 23:06:11,M002,82.2,3.18,2.0,Critical
2025-11-04 23:06:11,M003,43.5,1.74,0.7,Normal
2025-11-04 23:06:11,M004,42.9,2.19,0.96,Normal
2025-11-04 23:06:11,M005,81.8,2.98,1.64,Critical
2025-11-04 23:21:11,M001,49.5,2.46,0.71,Normal
2025-11-04 23:21:11,M002,47.4,2.01,0.88,Normal
2025-11-04 23:21:11,M003,37.0,2.67,0.91,Normal
2025-11-04 23:21:11,M004,46.1,1.91,0.54,Normal
2025-11-04 23:21:11,M005,52.1,2.61,0.91,Normal
2025-11-04 23:36:11,M001,35.8,1.74,0.65,Normal
2025-11-04 23:36:11,M002,30.2,2.8,1.03,Normal
2025-11-04 23:36:11,M003,44.6,1.66,0.54,Normal
2025-11-04 23:36:11,M004,47.4,2.04,0.87,Normal
2025-11-04 23:36:11,M005,42.8,2.82,0.72,Normal
2025-11-04 23:51:11,M001,38.1,2.07,0.96,Normal
2025-11-04 23:51:11,M002,57.2,2.03,0.56,Normal
2025-11-04 23:51:11,M003,45.4,2.11,0.91,Normal
2025-11-04 23:51:11,M004,50.1,2.05,0.58,Normal
2025-11-04 23:51:11,M005,31.8,2.32,0.91,Normal
2025-11-05 00:06:11,M001,38.3,2.2,1.0,Normal
2025-11-05 00:06:11,M002,47.7,2.11,0.52,Normal
2025-11-05 00:06:11,M003,46.8,1.67,0.7,Normal
2025-11-05 00:06:11,M004,44.9,1.9,0.94,Normal
2025-11-05 00:06:11,M005,39.7,2.1,0.79,Normal
2025-11-05 00:21:11,M001,37.4,1.46,0.85,Normal
2025-11-05 00:21:11,M002,45.6,1.67,0.63,Normal
2025-11-05 00:21:11,M003,51.6,2.47,0.69,Normal
2025-11-05 00:21:11,M004,61.8,1.87,0.62,Normal
2025-11-05 00:21:11,M005,47.3,2.22,0.32,Normal
2025-11-05 00:36:11,M001,44.2,2.23,1.12,Normal
2025-11-05 00:36:11,M002,41.0,2.28,1.02,Normal
2025-11-05 00:36:11,M003,41.6,1.91,0.98,Normal
2025-11-05 00:36:11,M004,55.2,2.67,0.52,Normal
2025-11-05 00:36:11,M005,44.1,2.1,1.25,Normal
2025-11-05 00:51:11,M001,47.1,2.19,1.13,Normal
2025-11-05 00:51:11,M002,43.1,2.13,0.59,Normal
2025-11-05 00:51:11,M003,43.9,2.73,0.63,Normal
2025-11-05 00:51:11,M004,47.6,2.11,0.72,Normal
2025-11-05 00:51:11,M005,49.6,2.45,0.74,Normal
2025-11-05 01:06:11,M001,37.4,1.91,0.64,Normal
2025-11-05 01:06:11,M002,39.3,1.66,0.83,Normal
2025-11-05 01:06:11,M003,45.1,2.2,0.43,Normal
2025-11-05 01:06:11,M004,50.4,2.01,0.55,Normal
2025-11-05 01:06:11,M005,37.9,1.96,0.83,Normal
2025-11-05 01:21:11,M001,48.1,1.82,0.66,Normal
2025-11-05 01:21:11,M002,39.0,2.48,0.88,Normal
2025-11-05 01:21:11,M003,38.1,1.88,1.29,Normal
2025-11-05 01:21:11,M004,76.0,3.31,1.85,Critical
2025-11-05 01:21:11,M005,41.2,1.59,0.88,Normal
2025-11-05 01:36:11,M001,26.5,2.16,0.79,Normal
2025-11-05 01:36:11,M002,52.5,2.22,0.49,Normal
2025-11-05 01:36:11,M003,56.8,2.29,0.75,Normal
2025-11-05 01:36:11,M004,41.0,2.11,1.02,Normal
2025-11-05 01:36:11,M005,33.3,2.41,0.71,Normal
2025-11-05 01:51:11,M001,42.6,1.77,0.77,Normal
2025-11-05 01:51:11,M002,39.5,1.91,1.09,Normal
2025-11-05 01:51:11,M003,45.6,2.05,0.97,Normal
2025-11-05 01:51:11,M004,79.8,3.27,2.0,Critical
2025-11-05 01:51:11,M005,51.7,2.03,0.85,Normal
2025-11-05 02:06:11,M001,40.9,1.66,0.96,Normal
2025-11-05 02:06:11,M002,81.4,3.16,1.79,Critical
2025-11-05 02:06:11,M003,55.5,2.61,0.97,Normal
2025-11-05 02:06:11,M004,41.2,1.62,0.43,Normal
2025-11-05 02:06:11,M005,33.8,2.39,0.61,Normal
2025-11-05 02:21:11,M001,25.6,1.87,0.67,Normal
2025-11-05 02:21:11,M002,80.3,3.07,2.0,Critical
2025-11-05 02:21:11,M003,60.8,1.99,0.95,Normal
2025-11-05 02:21:11,M004,56.2,2.2,0.52,Normal
2025-11-05 02:21:11,M005,58.1,1.79,0.77,Normal
2025-11-05 02:36:11,M001,44.4,1.88,1.01,Normal
2025-11-05 02:36:11,M002,49.3,1.76,1.23,Normal
2025-11-05 02:36:11,M003,24.2,1.9,1.02,Normal
2025-11-05 02:36:11,M004,49.9,1.65,1.06,Normal
2025-11-05 02:36:11,M005,63.5,1.81,0.9,Normal
2025-11-05 02:51:11,M001,59.9,2.09,0.84,Normal
2025-11-05 02:51:11,M002,43.7,1.86,0.75,Normal
2025-11-05 02:51:11,M003,80.5,3.2,2.0,Critical
2025-11-05 02:51:11,M004,45.0,1.65,0.88,Normal
2025-11-05 02:51:11,M005,39.3,1.57,0.55,Normal
2025-11-05 03:06:11,M001,41.0,1.59,1.06,Normal
2025-11-05 03:06:11,M002,27.4,2.21,1.14,Normal
2025-11-05 03:06:11,M003,53.7,1.25,0.93,Normal
2025-11-05 03:06:11,M004,48.2,2.3,0.57,Normal
2025-11-05 03:06:11,M005,80.3,3.33,1.99,Critical
2025-11-05 03:21:11,M001,47.9,2.2,1.03,Normal
2025-11-05 03:21:11,M002,62.0,2.3,0.71,Normal
2025-11-05 03:21:11,M003,80.8,3.15,1.87,Critical
2025-11-05 03:21:11,M004,63.3,2.65,0.91,Normal
